cislo,sklpol,název,norma,jednotka
537,100005,cukr,100.0,g
537,100006,cukr moučka,200.0,g
537,100045,sůl,4.0,g
537,100059,krupička dětská,500.0,g
537,100085,,10.0,ks
537,400006,máslo,200.0,g
537,400009,mléko,5.0,l
626,100045,sůl,10.0,g
654,100238,,1.0,ks
655,200029,rajčata,1000.0,g
656,200039,ředkvičky svazek,10.0,ks
657,200025,papriky,1000.0,g
658,200015,kedlubny,10.0,ks
774,100030,piškoty,3.0,ks
775,100093,tatranky,10.0,ks
776,100107,zákusky,10.0,ks
777,100014,mouka hladká,40.0,g
777,100021,olej,0.1,ks
777,100045,sůl,20.0,g
777,100051,strouhanka,200.0,g
777,200033,zelenina mražené,1500.0,g
777,400020,vejce,3.0,ks
778,100053,hořčice 400g,0.1,ks
778,200006,cibule,20.0,g
778,200029,rajčata,1500.0,g
778,300019,,500.0,G
778,400011,smetana zakysaná,0.5,ks
778,400020,vejce,10.0,ks
814,200001,banány,2.2,kg
815,200004,broskve,1.0,kg
816,200021,nektarinky,1.5,kg
817,200011,hrušky,1.5,kg
819,200012,jablka,1300.0,g
822,200016,kiwi,10.0,ks
827,100070,kompot 700g,2.0,ks
834,200018,mandarinky,1.3,kg
835,100086,meloun,3.0,kg
836,200019,meruňky,1.3,kg
838,100088,pomeranče,1.5,kg
843,200030,ryngle,1.0,kg
844,200038,švestky,1.5,kg
846,200032,víno hroznové,2000.0,g
911,100014,mouka hladká,100.0,g
911,100045,sůl,20.0,g
911,200006,cibule,100.0,g
911,200022,žampiony,200.0,g
911,300029,vepřová plec,1000.0,g
911,400017,tuk hera,100.0,g
956,300034,šunka,300.0,g
957,300034,šunka,500.0,g
965,400016,termix,10.0,ks
979,100014,mouka hladká,20.0,g
979,100045,sůl,20.0,g
979,100064,kmín,2.0,g
979,200006,cibule,100.0,g
979,300016,sádlo,100.0,g
979,300029,vepřová plec,1000.0,g
980,400028,,1.5,ks
983,400003,jogurt,10.0,ks
987,100045,sůl,30.0,g
987,100064,kmín,1.0,g
987,300012,pangas,1500.0,g
987,400001,eidam,300.0,g
987,400006,máslo,100.0,g
988,100039,přesnídávky,10.0,ks
989,100021,olej,0.1,ks
989,100027,pepř mletý,1.0,g
989,100045,sůl,30.0,g
989,200006,cibule,200.0,g
989,200025,papriky,150.0,g
989,300028,vepřová kýta,1000.0,g
989,300033,špek,100.0,g
990,100029,pitíčko,10.0,ks
991,100087,minerálka,10.0,ks
992,400007,máslo pomazánkové,1.0,ks
993,100010,džem porce,10.0,ks
997,400010,mléko ochucené,10.0,ks
1017,400006,máslo,100.0,g
1019,400006,máslo,200.0,g
1020,100085,med porce,10.0,ks
1033,100041,rohlíky,20.0,ks
1034,100045,sůl,20.0,g
1034,300012,pangas,1500.0,g
1034,400006,máslo,100.0,g
1035,100052,housky,20.0,ks
1036,100052,housky,30.0,ks
1037,100014,mouka hladká,100.0,g
1037,100021,olej,0.2,ks
1037,100045,sůl,30.0,g
1037,100051,strouhanka,160.0,g
1037,300010,kuřecí stehna,2500.0,g
1037,400009,mléko,0.1,l
1037,400020,vejce,2.0,ks
