sklpol,název,jednotka,koeficient,nasklade,celkcena,alergeny
100001,bábovka,ks,1.0000,0.000,0.00,"1a,3,7"
100002,bobkový list,ks,1.0000,0.000,0.00,
100003,bramborové knedlíky,kg,0.0010,5.000,228.80,"1a,3,7"
100004,citronová štáva,ks,1.0000,0.000,0.00,10
100005,"cukr krupice,krystal",kg,0.0010,14.000,203.38,
100006,cukr moučka,kg,0.0010,9.000,191.04,
100007,cukr vanilkový,ks,1.0000,23.000,76.66,
100008,divoké koření rajč.,kg,0.0010,0.000,0.00,
100009,džem 400g,ks,1.0000,23.000,761.55,12
100010,džem porce,ks,1.0000,78.000,179.45,12
100011,droždí ks,ks,1.0000,28.000,53.67,
100012,granko,ks,1.0000,4.000,356.54,
100013,halali,ks,1.0000,8.000,247.94,9.1
100014,mouka hladká,kg,0.0010,26.000,318.90,1a
100015,mouka hrubá,kg,0.0010,25.000,306.62,1a
100016,mouka polohrubá,kg,0.0010,13.000,160.90,1a
100017,muškátový květ,ks,1.0000,0.000,0.00,
100018,nové koření,kg,0.0010,0.000,0.00,
100019,ocet,ks,1.0000,7.000,57.51,12
100020,okurky sterilované,ks,1.0000,29.000,997.35,10.12
100021,olej,ks,1.0000,20.000,736.92,
100022,ovesné vločky,ks,1.0000,0.000,0.00,1d
100023,paprika mletá,kg,0.0010,0.000,0.00,
100024,paštiky 100g,ks,1.0000,20.000,435.85,1a
100025,paštiky 48g,ks,1.0000,48.000,484.32,1a
100026,pepř celý,kg,0.0010,0.000,0.00,
100027,pepř mletý,kg,0.0010,0.000,0.00,
100028,perník na strouhání,ks,1.0000,0.000,0.00,"1a,3,7"
100029,pitíčko,ks,1.0000,32.000,263.88,
100030,piškoty,ks,1.0000,9.000,147.26,3.7
100031,pohanka,kg,0.0010,2.150,132.69,
100032,"zmrzliny, nanuky",ks,1.0000,40.000,238.28,7.3
100033,polévkové koření,ks,1.0000,1.000,161.43,"1a,3,6,7,9,13"
100034,povidla švestková,ks,1.0000,12.000,504.23,
100035,prášek do perníku,ks,1.0000,3.000,Oct-95,
100036,prášek do pečiva,ks,1.0000,22.000,45.12,
100037,pudink prášek,ks,1.0000,79.000,382.78,"1a,3,7,13"
100038,pudink se šlehačkou,ks,1.0000,15.000,144.44,7.12
100039,přesnídávky,ks,1.0000,62.000,861.77,
100040,rajčatový protlak,ks,1.0000,9.000,354.47,
100041,rohlíky,ks,1.0000,0.000,0.00,"1a,1c"
100042,rozinky,kg,0.0010,0.800,95.64,12
100043,rýže,kg,0.0010,31.000,953.59,
100044,rybičky 170g,ks,1.0000,20.000,419.17,4
100045,sůl,kg,0.0010,17.000,86.14,
100046,sirup,ks,1.0000,13.000,340.69,
100047,skořice,ks,1.0000,0.000,0.00,
100048,sojová omáčka,ks,1.0000,2.000,227.77,6
100049,sojové maso,kg,0.0010,0.000,0.00,"1a,6,7"
100050,solamyl,ks,1.0000,7.000,408.14,
100051,strouhanka,kg,0.0010,10.300,271.20,"1a,1c"
100052,housky,ks,1.0000,0.000,0.00,"1a,1c"
100053,hořčice 400g,ks,1.0000,15.000,121.01,10
100054,hořčice porce,ks,1.0000,0.000,0.00,10
100055,hrách,kg,0.0010,4.000,113.90,
100056,hranolky,kg,0.0010,0.000,0.00,
100057,hřebíček,kg,0.0010,0.000,0.00,
100058,chléb,ks,1.0000,0.000,0.00,"1a,1b,6"
100059,jáhly,kg,0.0010,3.500,197.80,
100060,kakao,kg,0.0010,0.800,118.98,
100061,kapučino,ks,1.0000,3.000,335.53,7
100062,karo,ks,1.0000,8.000,614.58,1b
100063,kečup 500g,ks,1.0000,10.000,223.26,
100064,kmín,kg,0.0010,0.000,0.00,
100065,koláče,ks,1.0000,0.000,0.00,"1a,3,7"
100066,kompot 2500g,ks,1.0000,3.000,600.64,
100067,kompot 3500g,ks,1.0000,1.000,125.69,
100068,kompot 350g,ks,1.0000,9.000,447.82,
100069,kompot 400-600g,ks,1.0000,38.000,1197.10,
100070,kompot 700g,ks,1.0000,9.000,321.24,
100071,kopr sterilovaný,ks,1.0000,14.000,205.11,
100072,kroupy,kg,0.0010,2.500,64.40,1c
100073,krupice hrubá,kg,0.0010,2.000,32.38,1a
100074,krupička dětská,kg,0.0010,3.500,91.94,1a
100075,kus kus,kg,0.0010,3.000,170.40,1a
100076,křen steril,ks,1.0000,14.000,242.17,7.12
100077,lámanka,kg,0.0010,0.000,0.00,1a
100078,lečo zeleninové 670g,ks,1.0000,18.000,491.15,
100079,listové těsto,ks,1.0000,7.000,95.73,"1a,3"
100080,majoránka,kg,0.0010,0.000,0.00,
100081,mák,kg,0.0010,0.400,120.52,
100083,mandle,kg,0.0010,0.000,0.00,8a
100084,med květový 250g,ks,1.0000,24.000,1276.30,
100085,med porce,ks,1.0000,73.000,231.06,
100086,meloun,kg,0.0010,0.000,0.00,
100087,minerálka,ks,1.0000,0.000,0.00,
100088,pomeranče,kg,0.0010,0.000,0.00,
100091,čaj porce ks,ks,1.0000,8.000,131.85,
100092,čaj viatex 80g,ks,1.0000,64.000,550.75,
100093,"tatranky, sušenky",ks,1.0000,56.000,469.07,
100094,taštičky tvarohové,kg,0.0010,0.000,0.00,"1a,3,7"
100095,červená řepa,ks,1.0000,4.000,104.29,
